cfips,first_day_of_month,row_id,diff_abs,diff,diff_1_2,mb_dens_shift1,mb_dens_shift2,mb_dens_shift3,mb_dens_shift4,mb_dens_shift5,mb_dens_shift6,mb_dens_shift7,mb_dens_shift8,mb_dens_shift9,mb_dens_shift10,mb_dens_shift11,mb_dens_shift12,cfips_amount,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,rolling_lag_mean_t3_shift2,rolling_lag_std_t3_shift2,target,shift_target,microbusiness_density
1001,2023-05-01,1001_2023-05-01,0.05854386470588235,-0.15886189999999978,-2.7135533466760986,3.5049997647270463,3.496101854849268,3.487584707189851,3.4794228035819708,3.4709148,3.442677,3.4638555,3.442677,3.4238517,3.4379706,3.3461974,3.3132529,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4877031218736967,0.008340156133007287,0.0,3.5049997647270463,
1003,2023-05-01,1003_2023-05-01,0.114693005882353,0.1020436000000009,0.8897107475295635,8.331735156755153,8.312490813390623,8.28990030651294,8.271006355914627,8.2506304,8.2576361,8.3597984,8.3417006,8.4911499,8.5734634,8.5074959,7.9073648,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.291132491939397,0.020769659691815615,0.0,8.331735156755153,
1005,2023-05-01,1005_2023-05-01,0.04345150823529414,0.03989229999999999,0.9180878091498991,1.323485186935703,1.3036202269389339,1.2830677506735704,1.2730285246755182,1.2522722,1.2472228,1.2320744,1.2068269,1.196728,1.2169259,1.1916784,1.1866289,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2865721674293409,0.015594029769173018,0.0,1.323485186935703,
1007,2023-05-01,1007_2023-05-01,0.015239847058823516,0.022393899999999967,1.4694307569861353,1.3267030220720002,1.3131025999440638,1.2998829529529612,1.2943521229780401,1.28724,1.2759978,1.28724,1.3153456,1.2928611,1.3265879,1.2759978,1.247892,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.302445891958355,0.009634396134283747,0.0,1.3267030220720002,
1009,2023-05-01,1009_2023-05-01,0.01887687647058825,-0.07676329999999987,-4.066525525004282,1.8753960379333072,1.869435239660803,1.8636788434241705,1.857889522498399,1.8520604,1.8362887,1.8317825,1.8520604,1.8362887,1.8317825,1.7732015,1.7484171,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8636678685277908,0.005772866405423395,0.0,1.8753960379333072,
1011,2023-05-01,1011_2023-05-01,0.0353279552941177,0.061576369999999936,1.7429927514161214,1.0609752993464125,1.0528309323918061,1.044027235247466,1.0347444502288465,1.0260957,1.013428,0.98809224,0.97542435,0.96275651,0.95008868,0.93742085,0.91208512,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0438675392893728,0.009044298555282243,0.0,1.0609752993464125,
1013,2023-05-01,1013_2023-05-01,0.04868677764705883,-0.9757367,-20.04110247495388,2.228894478816179,2.2220936747154814,2.214675842515049,2.2059466660255884,2.1990211,2.1859705,2.1859705,2.1663947,2.1076672,2.0424144,1.9836868,1.8075041,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2142387277520394,0.008082374304294341,0.0,2.228894478816179,
1015,2023-05-01,1015_2023-05-01,0.02131259999999993,0.1784401,8.372516727194268,2.831011094060548,2.822299930772188,2.8127397065110498,2.8034526541241607,2.7915807,2.7837641,2.8005137,2.8094468,2.7882307,2.7826476,2.7245827,2.6910837,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.812830763802466,0.009423968263684968,0.0,2.831011094060548,
1017,2023-05-01,1017_2023-05-01,0.022772999999999998,0.10152279999999991,4.458033636323713,1.4953839335599253,1.489227041297515,1.483552489428831,1.4782495809372844,1.472754,1.4689778,1.4425437,1.5029644,1.5218458,1.5482799,1.4689778,1.4878592,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4836763705545435,0.005489778582980785,0.0,1.4953839335599253,
1019,2023-05-01,1019_2023-05-01,0.020090817647058862,0.06292950000000008,3.1322518130173,1.1899106058709066,1.1823308084677886,1.1749302049430277,1.1682548897052387,1.145873,1.1363636,1.117345,1.131609,1.131609,1.1411183,1.117345,1.2457209,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1751719677053518,0.007041073013212328,0.0,1.1899106058709066,
