cfips,first_day_of_month,row_id,state,diff_abs,diff,diff_1_2,mb_dens_shift1,active_shift1,mb_dens_shift2,active_shift2,mb_dens_shift3,active_shift3,mb_dens_shift4,active_shift4,mb_dens_shift5,active_shift5,cfips_amount,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,rolling_lag_mean_t3_shift2,rolling_lag_min_t3_shift2,rolling_lag_mean_t6_shift2,rolling_lag_min_t6_shift2,rolling_lag_mean_t3_shift3,rolling_lag_min_t3_shift3,rolling_lag_mean_t6_shift3,rolling_lag_min_t6_shift3,rolling_lag_std_t6_shift1,target,shift_target,microbusiness_density,state_rolling_lag_mean_t3_shift2,state_rolling_lag_min_t3_shift2,state_rolling_lag_mean_t6_shift2,state_rolling_lag_min_t6_shift2,state_rolling_lag_mean_t3_shift3,state_rolling_lag_min_t3_shift3,state_rolling_lag_mean_t6_shift3,state_rolling_lag_min_t6_shift3
1001,2023-05-01,1001_2023-05-01,Alabama,0.05854386470588235,-0.15886189999999978,-2.7135533466760986,3.485690220834501,,3.482882694049405,,3.4799810012004273,,3.4755303933185715,,3.4709148,1475.0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4794646961894684,3.4755303933185715,3.469306898094734,3.442677,3.4754753981729998,3.4709148,3.4626059490865,3.442677,0.01573315936780862,0.0,3.485690220834501,,2.3069680823770438,2.2801959655296478,2.3060601554659126,2.247914756350068,2.302532060595721,2.2747280889837596,2.301158556465738,2.2411598902558634
1003,2023-05-01,1003_2023-05-01,Alabama,0.114693005882353,0.1020436000000009,0.8897107475295635,8.278756380864913,,8.27208830974728,,8.265250117789115,,8.259978857957615,,8.2506304,14133.0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.265772428498003,8.259978857957615,8.277563697582336,8.2506304,8.258619791915576,8.2506304,8.289165745957789,8.2506304,0.01019931419716269,0.0,8.278756380864913,,2.3069680823770438,2.2801959655296478,2.3060601554659126,2.247914756350068,2.302532060595721,2.2747280889837596,2.301158556465738,2.2411598902558634
1005,2023-05-01,1005_2023-05-01,Alabama,0.04345150823529414,0.03989229999999999,0.9180878091498991,1.2594306029506603,,1.25832294755896,,1.2571718647612005,,1.254830094844616,,1.2522722,248.0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2567749690549255,1.254830094844616,1.250315717860796,1.2320744,1.2547580532019387,1.2522722,1.2417330432676361,1.2068269,0.0045442314521676,0.0,1.2594306029506603,,2.3069680823770438,2.2801959655296478,2.3060601554659126,2.247914756350068,2.302532060595721,2.2747280889837596,2.301158556465738,2.2411598902558634
1007,2023-05-01,1007_2023-05-01,Alabama,0.015239847058823516,0.022393899999999967,1.4694307569861353,1.2925207573184117,,1.2913839994991445,,1.2902562054246014,,1.2888276066879782,,1.28724,229.0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.290155937203908,1.2888276066879782,1.286824268601954,1.2759978,1.2887746040375265,1.28724,1.29081786868543,1.2759978,0.006029431240198839,0.0,1.2925207573184117,,2.3069680823770438,2.2801959655296478,2.3060601554659126,2.247914756350068,2.302532060595721,2.2747280889837596,2.301158556465738,2.2411598902558634
1009,2023-05-01,1009_2023-05-01,Alabama,0.01887687647058825,-0.07676329999999987,-4.066525525004282,1.859902958593391,,1.8584049117093855,,1.8568566194708827,,1.8545186639543545,,1.8520604,822.0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8565933983782077,1.8545186639543545,1.848318632522437,1.8317825,1.8544785611417458,1.8520604,1.8472612139042062,1.8317825,0.008650941964256222,0.0,1.859902958593391,,2.3069680823770438,2.2801959655296478,2.3060601554659126,2.247914756350068,2.302532060595721,2.2747280889837596,2.301158556465738,2.2411598902558634
1011,2023-05-01,1011_2023-05-01,Alabama,0.0353279552941177,0.061576369999999936,1.7429927514161214,1.0319270248108445,,1.0310194563190234,,1.030076305148947,,1.028157552613356,,1.0260957,81.0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0297511046937755,1.028157552613356,1.0194782090135543,0.98809224,1.0281098525874344,1.0260957,1.0102123579603839,0.97542435,0.0068698210646433834,0.0,1.0319270248108445,,2.3069680823770438,2.2801959655296478,2.3060601554659126,2.247914756350068,2.302532060595721,2.2747280889837596,2.301158556465738,2.2411598902558634
1013,2023-05-01,1013_2023-05-01,Alabama,0.04868677764705883,-0.9757367,-20.04110247495388,2.2067895888517213,,2.205013225904485,,2.203176164001585,,2.2011289989697516,,2.1990211,337.0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2031061296252736,2.2011289989697516,2.196713414812637,2.1859705,2.2011087543237786,2.1990211,2.190276993828556,2.1663947,0.0074856824776127874,0.0,2.2067895888517213,,2.3069680823770438,2.2801959655296478,2.3060601554659126,2.247914756350068,2.302532060595721,2.2747280889837596,2.301158556465738,2.2411598902558634
1015,2023-05-01,1015_2023-05-01,Alabama,0.02131259999999993,0.1784401,8.372516727194268,2.8038242349147544,,2.8015659127055197,,2.799231845069901,,2.7954902184700043,,2.7915807,2500.0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.798762658748475,2.7954902184700043,2.7953577460409043,2.7837641,2.7954342545133017,2.7915807,2.7966712272566507,2.7837641,0.007377005596192994,0.0,2.8038242349147544,,2.3069680823770438,2.2801959655296478,2.3060601554659126,2.247914756350068,2.302532060595721,2.2747280889837596,2.301158556465738,2.2411598902558634
1017,2023-05-01,1017_2023-05-01,Alabama,0.022772999999999998,0.10152279999999991,4.458033636323713,1.4790793296078433,,1.4778880146681694,,1.4766567423399113,,1.47471207916677,,1.472754,390.0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.476418945391617,1.47471207916677,1.4689220560291416,1.4425437,1.4747076071688936,1.472754,1.4731014535844469,1.4425437,0.0037180610890325677,0.0,1.4790793296078433,,2.3069680823770438,2.2801959655296478,2.3060601554659126,2.247914756350068,2.302532060595721,2.2747280889837596,2.301158556465738,2.2411598902558634
1019,2023-05-01,1019_2023-05-01,Alabama,0.020090817647058862,0.06292950000000008,3.1322518130173,1.1523185429514244,,1.151305091440824,,1.1502519059384049,,1.1481092988809902,,1.145873,241.0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1498887654200731,1.1481092988809902,1.1415413160433698,1.117345,1.1480780682731317,1.145873,1.138258634136566,1.117345,0.005868676448368731,0.0,1.1523185429514244,,2.3069680823770438,2.2801959655296478,2.3060601554659126,2.247914756350068,2.302532060595721,2.2747280889837596,2.301158556465738,2.2411598902558634
