cfips,first_day_of_month,row_id,diff_abs,diff,diff_1_2,mb_dens_shift1,mb_dens_shift2,mb_dens_shift3,mb_dens_shift4,mb_dens_shift5,mb_dens_shift6,mb_dens_shift7,mb_dens_shift8,mb_dens_shift9,mb_dens_shift10,mb_dens_shift11,mb_dens_shift12,cfips_amount,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,rolling_lag_mean_t3_shift2,rolling_lag_std_t3_shift2,target,shift_target,microbusiness_density
1001,2023-02-01,1001_2023-02-01,0.05854386470588235,-0.15886189999999978,-2.7135533466760986,3.493622191207506,3.4831665997348797,3.473416441793549,3.4638555,3.442677,3.4238517,3.4379706,3.3461974,3.3132529,3.372082,3.3367846,3.3344314,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47347951384281,0.009655704366114412,0.0,3.493622191207506,
1003,2023-02-01,1003_2023-02-01,0.114693005882353,0.1020436000000009,0.8897107475295635,8.433177190210836,8.40961501549679,8.384027524803143,8.3597984,8.3417006,8.4911499,8.5734634,8.5074959,7.9073648,7.9791703,7.9453111,7.8232999,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.384480313433311,0.024911394140975093,0.0,8.433177190210836,
1005,2023-02-01,1005_2023-02-01,0.04345150823529414,0.03989229999999999,0.9180878091498991,1.2730590855708412,1.255495690250905,1.2350035100928236,1.2320744,1.2068269,1.196728,1.2169259,1.1916784,1.1866289,1.1916784,1.196728,1.2068269,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2408578667812427,0.012761047309318681,0.0,1.2730590855708412,
1007,2023-02-01,1007_2023-02-01,0.015239847058823516,0.022393899999999967,1.4694307569861353,1.3672103181510655,1.3518030538862449,1.3134880679118626,1.28724,1.3153456,1.2928611,1.3265879,1.2759978,1.247892,1.2535132,1.2647555,1.2366498,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3175103739327025,0.032468926546367884,0.0,1.3672103181510655,
1009,2023-02-01,1009_2023-02-01,0.01887687647058825,-0.07676329999999987,-4.066525525004282,1.850947595715184,1.8444359644719523,1.8380271696872321,1.8317825,1.8520604,1.8362887,1.8317825,1.7732015,1.7484171,1.764189,1.7979857,1.7777077,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8380818780530614,0.006326909635813372,0.0,1.850947595715184,
1011,2023-02-01,1011_2023-02-01,0.0353279552941177,0.061576369999999936,1.7429927514161214,1.0091060085709955,1.0017331810129693,0.994653356327094,0.98809224,0.97542435,0.96275651,0.95008868,0.93742085,0.91208512,0.91208512,0.92475295,0.87408155,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9948262591133544,0.006822114002270556,0.0,1.0091060085709955,
1013,2023-02-01,1013_2023-02-01,0.04868677764705883,-0.9757367,-20.04110247495388,2.2163817599341975,2.2066331111502278,2.196527956239607,2.1859705,2.1663947,2.1076672,2.0424144,1.9836868,1.8075041,1.8531811,1.9771615,1.944535,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.196377189129945,0.01033213060928071,0.0,2.2163817599341975,
1015,2023-02-01,1015_2023-02-01,0.02131259999999993,0.1784401,8.372516727194268,2.8265719001871346,2.8181476069577807,2.809271951596947,2.8005137,2.8094468,2.7882307,2.7826476,2.7245827,2.6910837,2.7078333,2.7178829,2.7067165,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.809311086184909,0.0088170186166452,0.0,2.8265719001871346,
1017,2023-02-01,1017_2023-02-01,0.022772999999999998,0.10152279999999991,4.458033636323713,1.4585262127427425,1.4528246774878326,1.4474408729495511,1.4425437,1.5029644,1.5218458,1.5482799,1.4689778,1.4878592,1.4803066,1.4576489,1.4387674,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4476030834791278,0.005142407871641181,0.0,1.4585262127427425,
1019,2023-02-01,1019_2023-02-01,0.020090817647058862,0.06292950000000008,3.1322518130173,1.1951463859512428,1.1721132727309254,1.1433155864803257,1.117345,1.131609,1.131609,1.1411183,1.117345,1.2457209,1.2409662,1.2171929,1.32655,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.144257953070417,0.027396294741713085,0.0,1.1951463859512428,
