cfips,first_day_of_month,row_id,diff_abs,diff,diff_1_2,mb_dens_shift1,mb_dens_shift2,mb_dens_shift3,mb_dens_shift4,mb_dens_shift5,cfips_amount,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,rolling_lag_mean_t3_shift2,rolling_lag_mean_t6_shift2,rolling_lag_mean_t3_shift3,rolling_lag_mean_t6_shift3,rolling_lag_std_t3_shift2,rolling_lag_std_t6_shift2,rolling_lag_std_t3_shift3,rolling_lag_std_t6_shift3,target,shift_target,microbusiness_density
1001,2022-07-01,1001_2022-07-01,0.05854386470588235,-0.15886189999999978,-2.7135533466760986,3.3520535646822385,3.3473408613308093,3.3428634816477008,3.338590602939146,3.3344314,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.342931648639219,3.3243857076529424,3.338628494862282,3.2999869807644746,0.004375527457880605,0.026011818407465644,0.00421616853044766,0.05389079957548868,0.025631164198268497,3.3520535646822385,3.4379706
1003,2022-07-01,1003_2022-07-01,0.114693005882353,0.1020436000000009,0.8897107475295635,7.823331990033904,7.813986118804894,7.807765268808097,7.815217532311209,7.8232999,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.812322973308067,7.820612603320701,7.8154275670397695,7.835047766853218,0.003994821339917988,0.0629596708371943,0.007769445122253812,0.0706016522389938,0.09588387798468512,7.823331990033904,8.5734634
1005,2022-07-01,1005_2022-07-01,0.04345150823529414,0.03989229999999999,0.9180878091498991,1.2235026429773612,1.2191599353821267,1.214995724202166,1.2109395847056932,1.2068269,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.215031748096662,1.198406824048331,1.2109207363026198,1.1871951514846433,0.0041102937366604515,0.02544167732237784,0.004084444718466715,0.029035556504786075,-0.005375340229226588,1.2235026429773612,1.2169259
1007,2022-07-01,1007_2022-07-01,0.015239847058823516,0.022393899999999967,1.4694307569861353,1.2538768116244596,1.2497157140547963,1.2455028285956464,1.2410963678614755,1.2366498,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2454383035039729,1.2327335017519865,1.2410829988190406,1.2297250494095204,0.004310035361295431,0.016923311083797063,0.004426529439329595,0.014767760415918128,0.05798902069282197,1.2538768116244596,1.3265879
1009,2022-07-01,1009_2022-07-01,0.01887687647058825,-0.07676329999999987,-4.066525525004282,1.7934162881062088,1.7896798789671542,1.785777183345967,1.7818179574130504,1.7777077,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7857583399087238,1.7733192532876954,1.7817676135863392,1.7640305067931694,0.003930994649846143,0.016640055341216074,0.00403497722960448,0.020732800577059937,0.021392808880031255,1.7934162881062088,1.8317825
1011,2022-07-01,1011_2022-07-01,0.0353279552941177,0.061576369999999936,1.7429927514161214,0.8894870457353399,0.8841512561741397,0.8807007588225813,0.8773352727345238,0.87408155,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8807290959104149,0.8670755196218742,0.8773725271857016,0.8531324069261842,0.0034080800761113975,0.01921410661893896,0.003309761665109998,0.03105206655228998,0.0681309914014101,0.8894870457353399,0.95008868
1013,2022-07-01,1013_2022-07-01,0.04868677764705883,-0.9757367,-20.04110247495388,1.9627191874641343,1.9542651510059545,1.9509639283251006,1.9478175940258295,1.944535,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9510155577856283,1.9489486622261474,1.9477721741169767,1.9484833703918216,0.0032240885462199134,0.018703165661229235,0.0032147048197920555,0.018578763670875874,0.04060449046653147,1.9627191874641343,2.0424144
1015,2022-07-01,1015_2022-07-01,0.02131259999999993,0.1784401,8.372516727194268,2.7416549905332266,2.7342025233039204,2.722751315483245,2.715239867176457,2.7067165,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7240645686545406,2.7127863343272707,2.7149025608865673,2.7043011471099505,0.009549296166276878,0.01411526060650114,0.008022727625034975,0.013967895317160507,0.01495177533581682,2.7416549905332266,2.7826476
1017,2022-07-01,1017_2022-07-01,0.022772999999999998,0.10152279999999991,4.458033636323713,1.4582530127666935,1.4535900375235429,1.4487739763488832,1.4438208073439123,1.4387674,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4487282737387794,1.4333008035360564,1.4437873945642652,1.4204022139487993,0.004884775442345551,0.020874699408645142,0.00500337184975762,0.028388532016602748,0.0617361229122384,1.4582530127666935,1.5482799
1019,2022-07-01,1019_2022-07-01,0.020090817647058862,0.06292950000000008,3.1322518130173,1.3438655079757893,1.3396355910050746,1.3353748658489155,1.3308483983968369,1.32655,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.335286285083609,1.290142359208471,1.3309244214152507,1.270180827374292,0.004394265968014362,0.06704604719832687,0.004412924080179461,0.06719258315409236,-0.15086867456043218,1.3438655079757893,1.1411183
