,lambda_l1,lambda_l2,num_leaves,learning_rate,max_depth,min_child_samples,num_iterations
0,0.0015243310837817759,0.0017156176297935127,187,0.06228708213090563,6,125,526
1,1.7475773077667252,0.00015784198765514501,83,0.020560094457284118,8,145,550
2,0.0936285249433527,0.024149975382689592,112,0.0240725902381066,6,40,505
3,5.66509124752723,1.2041764069556431e-06,97,0.0944894524458933,7,81,213
4,0.2409902680555552,2.8189198555033027e-07,175,0.007580577532551871,4,149,283
5,2.3838604116750367e-07,0.01676066441807269,58,0.07846472370497666,5,155,166
6,0.012910358361636403,0.0003218861029886669,115,0.09528563790410477,7,160,521
7,0.0034313094280676994,0.17027560131032646,148,0.08550685279082813,4,178,574
8,0.2836821389535914,0.22803855250939356,74,0.05745571895997375,8,59,349
9,1.1393154175332455e-06,0.17531049645544725,72,0.005869817479671483,8,100,291
10,1.2839943614469976e-08,3.089084040785088,252,0.07579009019162498,3,200,107
11,4.021736953471486e-07,0.005318877225250568,10,0.03574642687153731,5,32,430
12,2.4880705522598594e-05,1.2602589102914707e-05,19,0.038461674830654005,5,118,109
13,0.00011255104001476835,0.01662566336401341,35,0.040922425080908556,6,56,458
14,1.0229494494395698e-08,3.7988249646511005,52,0.07272320228156662,5,88,217
15,5.480637089513339e-06,0.023764305763932812,135,0.023541894061386116,6,36,403
16,0.020124306431023135,1.0085337507788088e-08,214,0.048813168177346655,4,132,193
17,0.00015876253830712837,0.00019468675033334828,112,0.018797767112436588,7,178,360
18,1.7084954502945405e-07,0.0012255084328279047,46,0.07021328679583627,3,106,488
19,0.1651138680684389,3.632441710240252e-05,166,0.029962712065849148,5,65,157
20,1.2716066711291024e-05,0.5947292754720487,101,0.054870936032958034,6,163,596
21,0.0030299969715511686,0.0030456061989878485,197,0.06414903157604443,6,124,504
22,0.0008482643974207344,0.04329728173957098,212,0.08349002456767277,7,137,494
23,0.013055989218768237,0.004799238898184021,250,0.0633723214474526,6,113,386
24,0.09396707837443831,0.04136144785415896,143,0.049095931850531155,5,79,262
25,1.2632887371071646,0.0021234439488791203,200,0.08145033185201844,4,169,331
26,0.003468379110801894,0.5981646673880973,227,0.06624683697831761,6,95,445
27,0.00038660145284376,0.009603078227803348,164,0.0996839041796693,7,146,480
28,0.024855103451935492,3.448847907965072e-05,54,0.014335607253642435,5,194,420
29,7.637459460466482e-05,0.001599859498179772,125,0.05884797821521271,6,129,529
30,0.001508886931532925,0.0004067990497470729,187,0.04446431345955075,6,123,546
31,1.0830309432191603,0.000897851046054624,187,0.06392915546917449,6,153,565
32,0.003031160600336841,0.05842601441167545,155,0.07914891235506491,7,138,512
33,0.042768279117649556,4.254940665652714e-05,92,0.08945975453414913,5,109,469
34,9.658703109750956,4.051165431100288e-06,184,0.06902643549214749,7,124,599
35,0.0004228736376942827,0.005602046576749404,229,0.05256250370235886,6,76,555
36,0.005379680122506032,0.00030983621713819937,72,0.059227096179079466,4,47,510
37,6.378883059807228e-08,0.0029817178334291708,85,0.09041128968560841,7,153,309
38,0.4826311145750011,0.11359015950224492,104,0.0766272182964537,8,138,247
39,4.877684830077792e-06,0.387670788317848,131,0.03407511922480568,5,98,374
40,0.06532812140126205,3.0321577410730786e-07,203,0.011427408507825185,4,169,134
41,8.001580890396913e-07,0.2730232987304466,173,0.025047354138146273,5,97,377
42,6.715906133533274e-08,0.733510426547698,120,0.03338474219903467,5,115,531
43,3.7657885859838906e-06,7.436840128221633,62,0.04390511362046038,6,69,444
44,3.7757386155347876e-05,1.946041583367144,25,0.04279323592284922,6,46,441
45,3.343939803571303e-08,0.0001226048555517151,60,0.0031714882593399246,6,41,417
46,6.707782641846225e-07,7.05408816686427,79,0.07321242720738022,6,56,465
47,2.42790532948143e-07,0.014472309397926273,38,0.046828742892175354,6,69,499
48,3.2755838224515435e-06,0.01316015664498788,39,0.04651058424788875,6,71,578
49,1.674275891503439e-07,0.09589920734144082,6,0.038764047760511657,7,86,501
