cfips,first_day_of_month,row_id,diff_abs,diff,diff_1_2,mb_dens_shift1,mb_dens_shift2,mb_dens_shift3,mb_dens_shift4,mb_dens_shift5,cfips_amount,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,rolling_lag_mean_t3_shift2,rolling_lag_mean_t6_shift2,rolling_lag_mean_t3_shift3,rolling_lag_mean_t6_shift3,rolling_lag_std_t3_shift2,rolling_lag_std_t6_shift2,rolling_lag_std_t3_shift3,rolling_lag_std_t6_shift3,target,shift_target,microbusiness_density
1001,2022-07-01,1001_2022-07-01,0.05854386470588235,-0.15886189999999978,-2.7135533466760986,3.3592794068342156,3.3529035772121847,3.346728533364852,3.3406220984210546,3.3344314,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3467514029993635,3.3262955848330154,3.3405940105953023,3.3009697386309846,0.006140771335083489,0.027810546802083683,0.0061486147987242275,0.05481358968311793,0.02342502174891803,3.3592794068342156,3.4379706
1003,2022-07-01,1003_2022-07-01,0.114693005882353,0.1020436000000009,0.8897107475295635,7.865716034336905,7.852351008098892,7.8394170081735135,7.830735218300941,7.8232999,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.840834411524448,7.834868322428892,7.8311507088248185,7.842909337745742,0.01087737865213515,0.06296916041578836,0.008066583431103752,0.06848686904239053,0.08997875877714145,7.865716034336905,8.5734634
1005,2022-07-01,1005_2022-07-01,0.04345150823529414,0.03989229999999999,0.9180878091498991,1.2202139532992535,1.216385335401138,1.213216518591485,1.2100366161650467,1.2068269,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2132128233858899,1.197497361692945,1.2100266782521771,1.186748122459422,0.003174361231113746,0.024683130489408484,0.0031948208882124594,0.02855273297063096,-0.0026946530896186927,1.2202139532992535,1.2169259
1007,2022-07-01,1007_2022-07-01,0.015239847058823516,0.022393899999999967,1.4694307569861353,1.250993188794869,1.2468954470625782,1.24319731775357,1.2399388341220945,1.2366498,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2433438663127474,1.2316862831563737,1.2399286506252214,1.2291478753126108,0.0034806211027658632,0.015912212115407543,0.0032737707557160666,0.014113916338053737,0.060427756027956026,1.250993188794869,1.3265879
1009,2022-07-01,1009_2022-07-01,0.01887687647058825,-0.07676329999999987,-4.066525525004282,1.7946794705207796,1.7902613206071438,1.7860680035879655,1.781902187026102,1.7777077,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7860771704070704,1.7734786685368684,1.7818926302046891,1.7640930151023444,0.004179574329929731,0.016807365614672474,0.004180159987418393,0.020808452771844968,0.020673903105635993,1.7946794705207796,1.8317825
1011,2022-07-01,1011_2022-07-01,0.0353279552941177,0.061576369999999936,1.7429927514161214,0.8853856168721381,0.8824778319839413,0.87974476720018,0.8769081911222011,0.87408155,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8797102634354408,0.8665661033843871,0.876911502774127,0.8529018947203969,0.0027849807386271914,0.018741848732303366,0.0028316100524929506,0.030817359602813354,0.07307896344244091,0.8853856168721381,0.95008868
1013,2022-07-01,1013_2022-07-01,0.04868677764705883,-0.9757367,-20.04110247495388,1.9519267021330124,1.9464552930889107,1.945507657540395,1.9458715355300236,1.944535,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9459448287197763,1.9464132976932216,1.9453047310234728,1.9472496488450695,0.0004780504177690462,0.018462903535493753,0.0006909892793559534,0.01857848221492464,0.046358143350416325,1.9519267021330124,2.0424144
1015,2022-07-01,1015_2022-07-01,0.02131259999999993,0.1784401,8.372516727194268,2.734627506715015,2.72779414439668,2.7198193974327807,2.713264358931402,2.7067165,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.720292633586954,2.7109003667934775,2.713266752121394,2.703483242727364,0.007276443551636793,0.01171165823271212,0.006551449044232113,0.012904167094573581,0.01756001253079975,2.734627506715015,2.7826476
1017,2022-07-01,1017_2022-07-01,0.022772999999999998,0.10152279999999991,4.458033636323713,1.454339360941767,1.4504921101068173,1.446564598137242,1.4427358868927207,1.4387674,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44659753171226,1.4322354325227966,1.4426892950099877,1.4198531641716603,0.0038782164846812802,0.019852973473002935,0.0038988078691517014,0.02777628805884275,0.0645932727815337,1.454339360941767,1.5482799
1019,2022-07-01,1019_2022-07-01,0.020090817647058862,0.06292950000000008,3.1322518130173,1.3419607565855904,1.337782297297904,1.3338664100349227,1.330217051379096,1.32655,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333955252903974,1.2894768431186538,1.330211153804673,1.2698241935690031,0.00378340537672698,0.06649511373320757,0.0036582085828878977,0.0667874806138762,-0.1496634350892665,1.3419607565855904,1.1411183
