,lambda_l1,lambda_l2,num_leaves,learning_rate,max_depth,min_child_samples,num_iterations
0,8.007512122115338,9.85764027661683e-07,110,0.059377910378299176,7,34,826
1,0.04958377063362449,3.6425559905949557e-07,249,0.01626380493479659,6,154,513
2,3.849305349681729e-05,0.6750336029483329,82,0.08254533154129404,6,190,960
3,1.8562831518932356e-05,0.0004070345748602103,208,0.03191157406119702,7,59,549
4,0.14018761619379558,1.2529391600544573e-06,248,0.0771146140509835,8,66,307
5,5.384612425706545,0.365595409818584,56,0.07350674367135317,8,104,285
6,0.002309292827019547,4.7547903132729926e-08,152,0.03698009842450326,7,78,779
7,0.016889252646277178,0.033175520956936266,13,0.06286011612456285,5,124,763
8,2.9400055944169007e-06,0.6398639045420613,255,0.00168511861754564,3,56,482
9,1.4265091761651305e-05,0.2067660219768153,139,0.07142154694971417,4,144,208
10,1.0812797745613632e-07,4.217232029894126,185,0.010890967068446493,3,31,432
11,3.623119951212875,0.00010498720146729241,93,0.051284201823079814,3,35,659
12,2.678615025489386e-07,0.002502967771952939,111,0.09968724106641605,5,90,995
13,0.0005122641719234708,9.543882501409657,174,0.028595204199820243,4,48,708
14,1.0883255094422037e-08,1.2450994880381837e-05,41,0.007252748480974236,7,57,870
15,0.29443512327710497,1.905458828031918e-08,212,0.002847734483703797,4,88,446
16,0.3552597912881514,2.535152650421976e-08,222,0.0013974199271932948,4,90,375
17,0.004482825890469126,0.01289745039713794,222,0.019070841825047938,3,114,102
18,0.0003192342861882106,1.811816083056677e-05,251,0.0025992596153499095,4,132,398
19,0.5596522543465001,0.0009165775549082983,178,0.019431351359036404,3,78,644
20,2.0677120627957307e-06,0.004592923856633382,221,0.038789047281734344,5,173,339
21,0.00012686513604116898,4.9231383069385474e-05,256,0.0033050945612474254,4,134,405
22,0.0005737759858246899,6.401010139011894e-06,229,0.0015041808105406313,4,117,490
23,0.003329267799939967,9.216081724282345e-08,198,0.012641454397137502,3,104,591
24,0.01897986275070333,4.959037343939534e-06,232,0.023815100509881115,4,97,474
25,0.0008602083312789217,1.1949863646169295e-08,231,0.009251885454228987,5,73,246
26,7.825187473382401e-05,0.0001474341658805783,152,0.012480339978424168,3,112,176
27,5.426857496944628e-06,1.4826210899384539e-07,189,0.0017006761366344303,4,51,369
28,4.7122238445945986e-06,9.132527050518238e-08,198,0.021321793793730524,5,49,361
29,4.951441877064179e-06,6.576021113608201e-07,171,0.01004927533332673,6,46,592
30,9.954343764779067e-05,1.985184159866449e-07,159,0.026131577226657814,3,65,367
